asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term
B01MTB55WH,"Anker Soundcore 2 Portable Bluetooth Speaker With Better Bass, 24-Hour Playtime, 66Ft Bluetooth Range, Ipx5 Water Resistance & Built-In Mic",Anker,6199.20,(32% off),4.6,1.4L,Audio,https://www.amazon.in/dp/B01MTB55WH,bluetooth speakers
B0DS68Z4DZ,"ZEBRONICS County 8, Portable Bluetooth Speaker, 8 Watts, Upto 7 Hours Playback, Passive Radiator, BTv5.3 | TWS | USB | mSD, RGB LED, Call Function, Compact Design, Carry Strap (Black)",ZEBRONICS,631,(43% off),4.1,175,Audio,https://www.amazon.in/dp/B0DS68Z4DZ,bluetooth speakers
B0F3JNTJ7K,"Portronics Fynix 30W HD Sound Portable Bluetooth Speaker with Dual Passive Radiator, 360° Surround Sound, Upto 6 Hours, Handsfree Calling, TWS Pairing, Bluetooth 5.3V, Type C Charging(Black)",Portronics,2499,(38% off),4.1,300,Audio,https://www.amazon.in/dp/B0F3JNTJ7K,bluetooth speakers
B0DCB8FBVK,"amazon basics X20R 20W Bluetooth Soundbar with 2000mAh Battery | 2X Bass | Up to 9hrs of Playback | Bluetooth 5.3, Aux in, USB, Micro TF Card Connectivity (Grey)",amazon,1479,(51% off),3.8,52.3K,Audio,https://www.amazon.in/dp/B0DCB8FBVK,bluetooth speakers
B0CX95S55W,"JBL Clip 5, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, 12hrs of Playtime, Integrated Carabiner, Vibrant Colors with Rugged Fabric Design, Dust & Waterproof, Type C (Without Mic, Squad)",JBL,4019,(38% off),4.6,5.4K,Audio,https://www.amazon.in/dp/B0CX95S55W,bluetooth speakers
B0DQWTH8MK,"ZEBRONICS Sound Feast 55, Portable Bluetooth Speaker, 14 Watts, 10 Hours Playback, Dual 5.7 cm Drivers, Dual Passive Radiator, Call Function, RGB, Bluetooth v5.3 | TWS | USB | mSD | AUX, Deep Bass",ZEBRONICS,1299,(54% off),3.9,739,Audio,https://www.amazon.in/dp/B0DQWTH8MK,bluetooth speakers
B0FQN896CF,"Tribit PocketGo Portable Wireless Bluetooth Speaker with 7W Stereo Sound, IP68 Waterproof Dustproof, 20H Playtime, Custom EQ, BT6.0 & TWS Pairing, Supports TF Card, Ideal for Travel, Outdoor, Gifts",Tribit,2999,(25% off),4.4,550,Audio,https://www.amazon.in/dp/B0FQN896CF,bluetooth speakers
B0FFHCZPWC,"GOVO GOSURROUND 600 | 90W Soundbar | 2.1 Channel Home Theatre | Deep Bass from 4” Subwoofer | BT v5.3, HDMI, AUX, USB Connectivity | 5 EQ Modes",GOVO,2799,(77% off),3.9,36,Audio,https://www.amazon.in/dp/B0FFHCZPWC,bluetooth speakers
B0GF1RWB4D,"mini Portable Bluetooth Speaker, White and Turquoise, Wireless Audio Device with Control Buttons",mini,283,(72% off),2.6,9,Audio,https://www.amazon.in/dp/B0GF1RWB4D,bluetooth speakers
B0BGYCY8VR,"Soundcore Anker Rave Neo 2 Portable Speaker with 80W Stereo Sound,Partycast 2.0,Light Show,Ipx7 Waterproof(Floats On Water) 18H Playtime,Customizable Eq & Bass Up for Party,Backyard-Black,USB",Soundcore,12999,(24% off),4.6,261,Audio,https://www.amazon.in/dp/B0BGYCY8VR,bluetooth speakers
B0CW38T5QK,"Mivi Fort Q18 Soundbar with 18W Bluetooth Speakers Soundbar, 2.0 Channel with 2 in-Built Full-Range Speakers, Multiple Input Modes, 6H Playtime, 2000mAh, Made in India Sound bar for TV",Mivi,999,(71% off),3.9,1.1K,Audio,https://www.amazon.in/dp/B0CW38T5QK,bluetooth speakers
B0FGVXDQ31,"QCY SP7 Portable Bluetooth Speaker – 40W Stereo Sound, 105 dB Loud Output, TWS Multi-Speaker Pairing, 15 RGB Light Modes, IPX7 Waterproof, 14H Battery Life",QCY,3999,(33% off),4.4,43,Audio,https://www.amazon.in/dp/B0FGVXDQ31,bluetooth speakers
B0FPR7WMGY,"GOBOULT Newly Launched Bassbox X20 Bluetooth Speaker 20 Watt BoomX Audio, Up to 6 Hrs Playtime, Type-C Charging, AUX/TF Card/USB & BTv 5.4, Bluetooth Sound Bar Portable (Pure Black)",GOBOULT,1599,(77% off),4.0,27,Audio,https://www.amazon.in/dp/B0FPR7WMGY,bluetooth speakers
B08HD28LJ6,"ZEBRONICS Sound Feast 50, 14 W Portable Speaker Supporting Bluetooth, Pendrive Slot, mSD Card, Call Function (Black)",ZEBRONICS,849,(66% off),3.8,4.2K,Audio,https://www.amazon.in/dp/B08HD28LJ6,bluetooth speakers
B08NQXP8CR,HP 360 Mono Portable Silver Bluetooth Speaker with Built-in Microphone Ip54 Dust and Water Resistance (2D801AA),HP,1189,(60% off),3.6,233,Audio,https://www.amazon.in/dp/B08NQXP8CR,bluetooth speakers
